DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
EMS,,N910NH,AIRLINK 1,HELICOPTER,,AC97DF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N918EC,EAST CARE 4,HELICOPTER,,ACB4CA,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N920NH,AIRLINK 2,HELICOPTER,,ACBF5E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N930NH,AIRLINK 3,HELICOPTER,,ACE6DD,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N935MC,,HELICOPTER,,ACF952,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N995AL,,HELICOPTER,,ADE541,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N518WF,AIR CARE 8WF,HELICOPTER,,A68121,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N235DH,MAMA2,HELICOPTER,,A21B66,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,BANNER-AIR,N860MB,BANNER-3,HELICOPTER,AS350-B3,ABDFEC,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,BANNER-AIR,N861MB,BANNER-2,HELICOPTER,AS350-B3,ABD383,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,BANNER-AIR,N857MB,BANNER-1,HELICOPTER,AS350-B3,ABC26E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI HEALTH,N973AE,AIR EVAC 4,HELICOPTER,,AD8ECF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
FIRE,CAL FIRE,N457DF,7DF-CAL FIRE,FIXED WING,,A58C6E,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N688TM,AA_8TM-CWN,FIXED WING,,A922A4,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,CLEARWATER AIR,N690AX,AA_0AX-CWN,FIXED WING,AC90,A92ACC,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,RV AVIATION,N690CP,AA_0CP-CWN,FIXED WING,AC90,A92AF6,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N45AZ,AA309-USFS,FIXED WING,AC90,A56FDB,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N400DS,AA201-USFS,FIXED WING,AC90,A4ACFD,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,RV AVIATION,N690FD,AA_0FD-CWN,FIXED WING,AC90,A92B37,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,FLYING H,N690JK,AA202-USFS,FIXED WING,AC90,A92B88,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
